tweet_id,message,thread_context,true_brand_reply,true_intent,classifier_confidence,escalate_label,escalate_reason
2468384,Mmm.. i play 2 or 3 songs. Then it begins to jump one after another until it stops. And it does not allow me to do anything. So i clouse and run again the program. But it's the same. Sorry my english it's so bad :/,,That's OK. Would you mind logging out restarting your PC logging back in to see if it helps? Keep us posted /AR,playback_issue,0.96,0,No hard-rule triggers; auto-handle.
2175413,everything running well? Stuttering like crazy using OSX app.,,Hey there! We don't have any reported issues at the moment. What's happening exactly on your end? /KT,playback_issue,0.96,0,No hard-rule triggers; auto-handle.
1757053,audio doesn’t resume properly after I receive a phone call. Track says its playing but zero audio. Have to force close to restore. iOS 11.2,,"Hey, help's here! Can you fire over the device's make/model and the Spotify version you're using? We'll see what we can suggest /JS",playback_issue,0.94,0,No hard-rule triggers; auto-handle.
1859315,No error. Just doesn't play. Tried turning phone on and off. Signing in and out. Nothing...,,"Got it. Does this happen with any other artists? If not, can you let us know your devices' operating system and Spotify versions? /DV",playback_issue,0.95,0,No hard-rule triggers; auto-handle.
1945076,Hi kenapa spotify di akun saya ketika memutar musik selalu ter-pause secara tiba-tiba di tengah² lagu ya?,,"Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at <URL> /RI",playback_issue,0.96,0,No hard-rule triggers; auto-handle.
166667,This is a workaround for when the device is on 4g and something on the home network is playing. Having the devices imonbthe same network would still cause this problem. Why would the Android Spotify app even force other apps to pause?!,"[Customer]: Agreed, it is not. I did find a new setting though, ""Show local devices only"" which do help if spotify is used in your (Google) home while you're out walking. That way Spotify doesn't pause my podcast/di.fm at least. [Brand]: Great! Glad to hear it's working. Just let us know if we can help with anything else. <URL> /JQ",Sorry about that. Could you DM us your username and email address? We'll take a look backstage /JQ <URL>,playback_issue,0.89,0,No hard-rule triggers; auto-handle.
2288861,Hello! I’m on iOS 11.1 and here’s my Spotify version. I also keep getting a message that says I’m using a web player (chrome) when I’m not? And songs from this random playlist auto play even after I’ve stopped them <URL>,,Got it! Could you also DM us your account's email address? We'll take a look under the hood /KB <URL>,playback_issue,0.85,0,No hard-rule triggers; auto-handle.
510485,"I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.",,Thanks for the heads-up. Could you try restarting your WiFi router to see if you can play your tracks and playlists smoothly? We'd also suggest trying different connections /MT,playback_issue,0.88,0,No hard-rule triggers; auto-handle.
2764553,You seriously want me to give feedback on an update from 5 February 2016? :/ I'd rather learn from you how I can truly shuffle/randomise my plays..! I pay for your services and I want some serious advice please.,"[Customer]: Hi guys/girls, why does my shuffle almost always works terribly? When I add new tracks to a playlist (3600+ songs), these songs almost always appear in my shuffle. Besides from that I hear some tracks weekly and others rarely.. Why isn't there a real shuffle? Thanks [Brand]: Hey! We’ve made some improvements to our shuffle algorithm. We’d love to hear your feedback here: <URL> /KT","We appreciate your comments about our shuffle function, and we'll make sure to pass them on to the right team. We don't have any new updates to share, but our tech folks are continuously monitoring the Community thread for feedback from users /KT",playback_issue,0.88,0,No hard-rule triggers; auto-handle.
1383423,why aren’t any Linkin Park songs playing at all?,,"Hey that's not cool! Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /RE",playback_issue,0.85,0,No hard-rule triggers; auto-handle.
371572,"Is anybody having problems with their mine isn't playing any music at all, and it keeps skipping through artist after artist ???",,"Hey Chris, we're here to help! Can you let us know what device, operating system, and Spotify version you're using? /RA",playback_issue,0.96,0,No hard-rule triggers; auto-handle.
1007945,I’m currently using 8.4.22,"[Customer]: you guys are having tons of problems with playback today, entire artists aren’t working like , what’s wrong? [Brand]: Hey, this doesn't sound good. Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /NY","Thanks. Just to check, are you getting any error messages? A screenshot of it will be handy. We'll take a look /NY",playback_issue,0.95,0,No hard-rule triggers; auto-handle.
67708,"Certain songs are blocking Spotify from working on Mobile, and Google Devices. Example Christmas remix 2014",,"Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS",playback_issue,0.92,0,No hard-rule triggers; auto-handle.
1742936,Spot8fy version 8.4.26.770 armv7 Android version 6.0.1,[Customer]: Also the sound quality sounds extremely worse on my note 5 than on my s6. Any reason for this? [Brand]: Hey there! Can you let us know your devices' exact operating systems and Spotify versions? We'll see what we can suggest /PL,Thanks! Can you try logging out restarting your device logging back in? Let us know if that helps /PL,playback_issue,0.89,0,No hard-rule triggers; auto-handle.
818302,"I can't get any tracks to play, tried logging out, deleting cookies, restarting computer. was working ok before (Win7/chrome)",,"Hi Colin, help's here! Does using a different device help? Keep us in the loop /MX",playback_issue,0.95,0,No hard-rule triggers; auto-handle.
322402,I haven’t been able to skip a song on my phone in 2 weeks? I thought you got 5 a day?,,Hi there! Help's here. Can you see if logging out restarting your device logging back in makes a difference Keep us posted /MU,playback_issue,0.92,0,No hard-rule triggers; auto-handle.
2828977,"I tried to play the new Christmas album from and your app will only play the sexist mutha flipping Ed Sheeran song ""Shape Of You"". What is wrong with you?!?!!!",,Hey Christiane! Can you DM us your account's email address? We'll take a look backstage /K <URL>,playback_issue,0.88,0,No hard-rule triggers; auto-handle.
